Andrássy-utcza, Újpest., (Váczi-úttól Baross-utczáig.) 
Arany-utcza, Újpest., (Váczi-vittól Baross-utczáig.) 
Arpád-utcza, Újpest., (Vasút-utczától f?-útig.) 
Attila-utcza, Újpest., (F?-úttól Rákos-Palotai-határig.) 
Baross-utcza, Újpest., (Károly-utczától Gróf Károlyi-majorságig.) 
Batthyány-utcza, Újpest., (Baross-utczától Attila-utczáig.) 
Báthory-utcza, Újpest., (Baross-utczától Attila-utczáig.) 
Beniczky-utcza, Újpest., (F?-úttól Attila-utczáig.) 
Bercsényi-utcza, Újpest., (István-tért?l Nagy-Deák-utczáig.) 
Bocskai-utcza, Újpest., (Lóvasúttól régi-temet?ig.) 
Corvin-utcza, Újpest., (Nagy-Deák-utczától vasut-utczáig.) 
Csányi-utcza, Újpest., (Part-utczától percz-utczáig.) 
Csengeri-utcza, Újpest., (Nagy-Deák-utczától vasut-utczáig.) 
Csokonai-utcza, Újpest., (Attila-utczától István-utczáig.) 
Denyén-utcza, Újpest., (Vasut-utczától f?-útig.) 
Diófa-utcza, Újpest., (Gyálitótól L?rincz-utczáig.) 
Dobó-utcza, Újpest., (Kölcsey-utczától Szilágyi-utczáig.) 
Erzsébet-utcza, Újpest., (Gyálitótól Nagy-Deák-utczáig.) 
Fő út, Újpest., (Váczi-úttól Rákos-Palotáig.) 
Gyár-utcza, Újpest., (Stern-gyártól gazdasági egyesületig.) 
Hajnal-utcza, Újpest., (Nyár-utczától Nagy-Deák-utczáig.) 
István-tér, Újpest., (róm. kath. templom.) 
István-utcza, Újpest., (Nagy-Deák-utczáig.) 
Jókai-utcza, Újpest., (István-tért?l f?-útig.) 
József-utcza, Újpest., (Váczi-úttól f?-útig.) 
Károly-utcza, Újpest., (Vasut-úttól István-térig.) 
Kazinczy-utcza, Újpest., (Vasut-utczától Kossuth-utczáig.) 
Kemény-utcza, Újpest., (Dunaparttól Váczi-útig.) 
Kemény-Gusztáv-utcza, Újpest., (F?úttól István-térig.) 
Kinizsi-utcza, Újpest., (Dunaparttól Váczi-útig.) 
Király-utcza, Újpest., (István-tért?l f?-iitig.) 
Kis-Deák-utcza, Újpest., (Attila-utczától Nagy-Deák-utczáig.) 
Kisfaludy-utcza, Újpest., (Megyeri-úttól az angol kisasszonyok sz?ll?jéig.) 
Klauzal-utcza, Újpest., (Mez?-utczától vasut-utczáig.) 
Kont-utcza, Újpest., (Kiköt?t?l Váczi-útig.) 
Kölcsey-utcza, Újpest., (Vasut-utczától Nagy-Deák-utczáig.) 
Kossuth-utcza, Újpest., (Nagy-Deák-utczától Szilágyi-utczáig.) 
Liliom-utcza, Újpest., (József-utczától Nagy-Deák-utczáig.) 
L?rincz-utcza, Újpest., (Attila-utczától f?-útig.) 
Lövvy-utcza, Újpest., (Üres-telkekt?l f?-útig.) 
Madách-utcza, Újpest., (Dunaparttól váczi-útig.) 
Mária-utcza, Újpest., (F?-úttól Nagy-Deák-utczáig.) 
Megyeri-út, Újpest., (Váczi-úttól Rákos-Palotai-határig.) 
Mez?-utcza, Újpest., (Attila-utczától vasut-utczáig.) 
Nádor-utcza, Újpest., (N.-Deák-utczától mez?-utczáig.) 
Nagy-Deák-utcza, Újpest., (Attila-utczától f?-útig.) 
Nap-utcza, Újpest., (Gyálitótól ?sz-utczáig.) 
Nyár-utcza, Újpest., (Széna-tért?l gazdasági egyesületig.) 
?sz-utcza, Újpest., (István-utczától gazdasági egyesületig.) 
Paloczi-utcza, Újpest., (L?wy-utczától temet?-utczáig.) 
Part-utcza, Újpest., (Dugonich-utczától f?-útig.) 
Pázmándi-utcza, Újpest., (Duna-parttól váczi-útig.) 
Percz-utcza, Újpest., (Régi-temet?t?l f?-útig.) 
Pet?fi-utcza, Újpest., (István-tért?l f?-útig.) 
Rákóczy-utcza, Újpest., (Váczi-úttól Baross-utczáig.) 
Rózsa-utcza, Újpest., (Gyálitótól Nagy-Deák-utczáig.) 
Sándor-utcza, Újpest., (Attila-utczától István-térig.) 
Széchényi-utcza, Újpest., (Vasut-utczától Nagy-Deák-utczáig.) 
Szénatér, Újpest., (Temet?-utczától diófa-utczáig.) 
Szép-utcza, Újpest., (Baross-utczától Attila-utczáig.) 
Szilágyi-utcza, Újpest., (F?-úttól vasut-utczáig.) 
Tavasz-utcza, Újpest., (Széna-tért?l gazdasági egyesülétig.) 
Temet?-utcza, Újpest., (F?-úttól széna-térig.) 
Templom-utcza, Újpest., (István-tért?l Nagy-Deák-utczáig.) 
Tél-utcza, Újpest., (Róm. k. temet?t?l gazdasági egyesületig.) 
Tó-utcza, Újpest., (Király-utczától István-telekig.) 
Toldy-utcza, Újpest., (Baross-utczától Attila-utczáig.) 
Tompa-utcza, Újpest., (Váczi-úttól Baross-utczáig.) 
Tököli-utcza, Újpest., (Nagy-Deák-utczától vasut-utczáig.) 
Váczi-út, Újpest., (Lóvasúttól Káposztás-Megyerig.) 
Vasut-utcza, Újpest., (István-u.-tól Rákospalotai vasútállomásig.^ 
Viola-utcza, Újpest., (Tél-utczától Nagy-Deák-utczáig.) 
Virág-utcza, Újpest., (F?-úttól Nagy-Deák-utczáig.) 
Vörösmarty-utcza, Újpest., (Váczi-úttól Baross-utczáig.) 
Wesselényi-utcza, Újpest., (Dunaparttól váczi-útig.) 
Wolfner-utcza, Újpest., (Dunaparttól váczi-útig.) 
Zrinyi-utcza, Újpest., (Váczi-úttól Baross-utczáig.)
